collection	source_id	verdict	outcome	issues	corrected_preview
katha_upanishad	KAT_02_17	sound	sound		
katha_upanishad	KAT_01_07_08	sound	sound		
katha_upanishad	KAT_03_10_14	sound	sound		
katha_upanishad	KAT_03_15_17	sound	sound		
katha_upanishad	KAT_04_05_09	sound	sound		
katha_upanishad	KAT_04_10_14	sound	sound		
katha_upanishad	KAT_04_15	sound	sound		
katha_upanishad	KAT_05_06_08	sound	sound		
katha_upanishad	KAT_06_06_09	sound	sound		
katha_upanishad	KAT_06_18	sound	sound		
katha_upanishad	KAU_07_OUTWARD	sound	sound		
katha_upanishad	KU_01_02_05	sound	sound		
katha_upanishad	KU_01_02_12	sound	sound		
katha_upanishad	KU_01_02_20	sound	sound		
katha_upanishad	KU_01_02_23	sound	sound		
katha_upanishad	KU_01_03_03	sound	sound		
katha_upanishad	KU_01_03_10	sound	sound		
katha_upanishad	KU_01_03_11	sound	sound		
katha_upanishad	KU_02_01_01	sound	sound		
katha_upanishad	KU_02_01_11	sound	sound		
katha_upanishad	KU_02_02_15	sound	sound		
katha_upanishad	KU_02_03_14	sound	sound		
katha_upanishad	KAT_02_12_16	sound	sound	In verse 13, 'pravṛhya dharmyam aṇum etam āpya' is mistranslated. 'Pravṛhya' means 'separating' or 'extracting', not 'drawing forth'. The object being separated is 'dharmyam aṇum etam', which refers to this subtle, righteous (or dharma-related) reality, not 'drawing forth this subtle, dharmic reality' as if it were already present and merely being extracted. The sense is more about distinguishing 	12. The steadfast one, knowing as divine that which is hard to behold—hidden, entered within, lodged in the secret place, abiding in the depth, ancient—through 
katha_upanishad	KAT_05_01_05	minor	minor	Verse 1: 'puram' refers to the body/city metaphor, and 'ajasya' (of the Unborn/unborn one) is genitive - the city belongs to the Unborn, not that the Unborn dwells in it; Verse 1: 'anuṣṭhāya' means 'having practiced/performed/ruled' rather than 'having steadfastly realized'; Verse 3: 'vāmanam' is likely 'the dwarf/small one' or 'the lovely one' rather than a proper name 'Vāmana'	"In the city with eleven gates, the Unborn, whose consciousness is unbent, dwells. Having realized him, one does not grieve; liberated, one is indeed released.

"
katha_upanishad	KAT_06_01_05	minor	minor	Verse 2: 'moves forth, having issued from prāṇa' (prāṇa ejati niḥsṛtam) - the syntax suggests 'trembles/quivers having gone forth from prāṇa' rather than 'moves forth'; Verse 3: 'Indra and Vāyu act' is vague for 'dhāvati' which means 'runs' - the verb applies to Death specifically as fifth, not to Indra and Vāyu; Verse 4: 'breaking apart' for 'visrasa' (dissolution/decay) is acceptable but 'then o	1. This everlasting fig tree has its root above and its branches below. That indeed is the pure; that is Brahman; that alone is called the immortal. Upon it all
katha_upanishad	KAT_02_07_11	error	repaired	Verse 8: 'When it is taught by one who is not other than it' misinterprets 'ananyaprokte' which means 'when taught by no other/someone else' not 'one who is not other than it'; Verse 8: 'there is no further uncertainty' mistranslates 'gatir atra nāsti' which means 'there is no way/path/access here' not 'no uncertainty'; Verse 9: 'Only when taught by another does it become readily knowable' inverts	Even to hear of this, many do not obtain the chance; and though many hear, they do not understand it. Wonderful is the one who can speak of it; rare is the one 
katha_upanishad	KAU_01_GIFT	error	repaired	Missing verse 1.3: The entire verse describing the defective gifts (cows that have drunk their water, eaten their grass, given their milk, and are without vigor) and the joyless worlds they lead to is omitted; Missing verse 1.4 continuation: The repeated questioning (second and third time) is mentioned but not fully rendered; Missing verses 1.5-1.6: Naciketas's reflection on mortality and the cycl	Vājaśravasa, desiring rewards, gave away all his possessions. He had a son named Naciketas. As the gifts were being led forth, faith entered that boy, still you
katha_upanishad	KAU_04_TWO_PATHS	error	repaired	Verse 2.2 mistranslates 'yogakṣemād' as 'through greed and avarice' when it means 'for the sake of acquisition and preservation/security'; The translation omits verses 2.3-2.6 entirely, providing only verses 2.1-2.2	The good is one thing, the pleasant is another; these two, having different purposes, bind a person. Of these two, it goes well for one who takes hold of the go
katha_upanishad	KAU_05_KNOWING	error	repaired	Complete mistranslation: the new translation renders verses about śreyas vs. preyas (good vs. pleasant) from KU 1.2.1-2, not the provided passage KU 2.18-2.25; The original passage discusses the eternal Self (ātman): unborn, undying, smaller than the atom yet greater than the great, dwelling in the heart, not obtained by teaching but by the Self's choice, etc.; None of the content about the Self's	The wise Self is neither born nor dies; it did not come from anywhere, nor did anything come from it. Unborn, eternal, everlasting, primeval, it is not slain wh
katha_upanishad	KAU_06_CHARIOT	error	repaired	Omits verses 3.1-3.2 entirely (the two birds drinking in the cave, the bridge metaphor); Omits verse 3.5 (the one without discrimination with uncontrolled mind has senses like bad horses); Omits verse 3.6 (the one with discrimination has controlled senses like good horses); Omits verse 3.7 (the one without discrimination, unmindful and impure does not reach the goal); Omits verse 3.8 (the one with	Two who drink the truth in the world of good deeds, having entered the cave in the highest supreme space — knowers of Brahman call them light and shadow, as do 
