Title,Category,Vault Hint,Field / Env Key,Value (paste privately),Where to set,Required,Sensitivity,Notes / how to get
Pratibha — OpenRouter API Key,API Credential,Pratibha Shared,OPENROUTER_API_KEY,,Render API + local .env,Yes,Secret,Powers Study Chat (and can power embeddings). openrouter.ai → Keys.
Pratibha — OpenAI API Key (embeddings),API Credential,Pratibha Shared,OPENAI_API_KEY,,Render API + local .env,Recommended,Secret,Preferred for RAG embeddings (text-embedding-3-small). Optional if OpenRouter used for embeddings.
Pratibha — Default chat model,Config,Pratibha Shared,DEFAULT_MODEL,openrouter/anthropic/claude-haiku-4.5,Render API + local .env,Yes,Low,Keep openrouter/ prefix. Cheap/fast default.
Pratibha — OpenRouter model (alias),Config,Pratibha Shared,OPENROUTER_MODEL,openrouter/anthropic/claude-haiku-4.5,Render API + local .env,Yes,Low,Fallback / alias for default model.
Pratibha — Chat model simple,Config,Pratibha Shared,CHAT_MODEL_SIMPLE,,Render API + local .env,No,Low,Empty = DEFAULT_MODEL. Used for chat_mode=question.
Pratibha — Chat model deep,Config,Pratibha Shared,CHAT_MODEL_DEEP,,Render API + local .env,No,Low,Empty = DEFAULT_MODEL. Set Sonnet id when you want stronger explain/compare/practice.
Pratibha — Chat daily max,Config,Pratibha Shared,CHAT_DAILY_MAX,40,Render API + local .env,No,Low,Soft daily messages per IP/user. 0 disables.
Pratibha — Chat simple max tokens,Config,Pratibha Shared,CHAT_SIMPLE_MAX_TOKENS,500,Render API + local .env,No,Low,Shorter completions for simple routing.
Pratibha — Chat rate per minute,Config,Pratibha Shared,CHAT_RATE_MAX_PER_MIN,20,Render API + local .env / render.yaml,Yes,Low,Per-IP sliding window. 0 disables.
Pratibha — Chat max tokens,Config,Pratibha Shared,CHAT_MAX_TOKENS,700,Render API + local .env,No,Low,Default completion budget.
Pratibha — Request timeout seconds,Config,Pratibha Shared,REQUEST_TIMEOUT_S,18,Render API + local .env,No,Low,LLM request timeout.
Pratibha — Max retries,Config,Pratibha Shared,MAX_RETRIES,1,Render API + local .env,No,Low,LLM retries.
Pratibha — OpenRouter site URL,Config,Pratibha Shared,OPENROUTER_SITE_URL,https://pratibha.agniagama.com,Render API + local .env,No,Low,HTTP-Referer for OpenRouter rankings.
Pratibha — OpenRouter app name,Config,Pratibha Shared,OPENROUTER_APP_NAME,Pratibha,Render API + local .env,No,Low,X-Title header for OpenRouter.
Pratibha — Embedding model,Config,Pratibha Shared,EMBEDDING_MODEL,text-embedding-3-small,Render API + local .env,Yes if RAG,Low,Must match ingest dimensionality (1536).
Pratibha — USE_RAG,Config,Pratibha Shared,USE_RAG,true,Render API + local .env / render.yaml,Yes (prod),Low,true for Study Chat retrieval in production.
Pratibha — VECTOR_BACKEND,Config,Pratibha Shared,VECTOR_BACKEND,pgvector,Render API + local .env,Yes if RAG,Low,pgvector only in current stack.
Pratibha — RAG_FETCH_K,Config,Pratibha Shared,RAG_FETCH_K,20,Render API + local .env,No,Low,Candidate pool size before filtering.
Pratibha — RAG_MIN_SCORE,Config,Pratibha Shared,RAG_MIN_SCORE,0.2,Render API + local .env,No,Low,Minimum similarity for RAG hits.
Pratibha — DATABASE_URL,Database,Pratibha Shared,DATABASE_URL,,Render (auto from pratibha-db) + local .env for ingest,Yes (prod),Secret,Postgres+pgvector connection string. Use Internal URL on Render; External + PG_SSL for laptop ingest.
Pratibha — PG_SSL,Config,Pratibha Shared,PG_SSL,true,local .env when using public DB URL,Conditional,Low,true for managed DB over public internet.
Pratibha — CORS allow origins,Config,Pratibha Shared,CORS_ALLOW_ORIGINS,https://pratibha.agniagama.com,https://pratibha.conorbyrnes04.workers.dev,Render API (sync:false in blueprint),Yes (prod),Low,Comma-separated frontend origins. No spaces preferred.
Pratibha — Admin token,API Credential,Pratibha Shared,ADMIN_TOKEN,,Render API,Recommended,Secret,Gates GET /admin/corpus-status via X-Admin-Token header.
Pratibha — Supabase project URL,Config,Pratibha Shared,SUPABASE_URL,,Render API + local .env,Yes if auth,Medium,Supabase → Project Settings → API → Project URL. Same project as NEXT_PUBLIC_SUPABASE_URL.
Pratibha — Supabase JWT secret,API Credential,Pratibha Shared,SUPABASE_JWT_SECRET,,Render API + local .env,Yes if auth (legacy HS256),Secret,Supabase → Project Settings → API → JWT Secret. NOT the anon or service_role key (those start with eyJ).
Pratibha — Supabase service role key,API Credential,Pratibha Shared,SUPABASE_SERVICE_ROLE_KEY,,local/admin only — NEVER ship to web client,Conditional,Critical secret,Bypasses RLS. Only for trusted server scripts. Do not put in Cloudflare/Next public env.
Pratibha — Web API base (prod),Config,Pratibha Shared,NEXT_PUBLIC_API_BASE,https://pratibha-1.onrender.com,web/.env.production + Cloudflare build env,Yes,Low,Baked at Next build time. No trailing slash. Redeploy web after change.
Pratibha — Web site URL (prod),Config,Pratibha Shared,NEXT_PUBLIC_SITE_URL,https://pratibha.agniagama.com,web/.env.production + Cloudflare build env,Yes,Low,Canonical site / metadata base.
Pratibha — Web Supabase URL (public),Config,Pratibha Shared,NEXT_PUBLIC_SUPABASE_URL,,web/.env.production + Cloudflare,Yes if auth,Public,Same as SUPABASE_URL. Safe in client bundle.
Pratibha — Web Supabase anon key (public),API Credential,Pratibha Shared,NEXT_PUBLIC_SUPABASE_ANON_KEY,,web/.env.production + Cloudflare,Yes if auth,Public (RLS-protected),Supabase → API → anon public key. Safe in client; still share only with trusted colleagues.
Pratibha — Web API base (local),Config,Pratibha Shared,NEXT_PUBLIC_API_BASE (dev),http://127.0.0.1:8000,web/.env.development.local,Dev only,Low,Use development.local — never put localhost in .env.local or prod builds break.
Pratibha — FAL image key,API Credential,Pratibha Shared,FAL_KEY,,local .env (image generation scripts),No,Secret,Only for fal.ai art generation scripts — not required to run the app.
Pratibha — Groq API key (legacy),API Credential,Pratibha Shared,GROQ_API_KEY,,deprecated,No,Secret,Ignored for chat. Can omit for new colleagues.
Pratibha — Mobile API base,Config,Pratibha Shared,EXPO_PUBLIC_API_BASE,,mobile env when on device,Conditional,Low,e.g. http://192.168.x.x:8000 for Expo on physical phone.
Pratibha — Render service,Access,Pratibha Shared,Render dashboard URL / service name,https://dashboard.render.com (service: pratibha-api / pratibha-1),Render account invite,Yes,Access,Colleague needs Render access or you paste env values for them.
